,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Weather Description,Date
0,Albany,US,42.6001,-73.9662,37.67,76,100,1.01,overcast clouds,2021-12-02 04:39:44
1,Qaanaaq,GL,77.484,-69.3632,4.39,68,30,7.74,scattered clouds,2021-12-02 04:39:45
2,Rikitea,PF,-23.1203,-134.9692,75.79,77,5,19.37,light rain,2021-12-02 04:39:47
3,La Paz,BO,-16.5,-68.15,44.58,93,40,4.61,fog,2021-12-02 04:39:47
4,East London,ZA,-33.0153,27.9116,65.34,100,90,6.91,mist,2021-12-02 04:39:47
5,Raymondville,US,26.4815,-97.7831,73.24,85,100,5.99,overcast clouds,2021-12-02 04:39:48
6,Turayf,SA,31.6725,38.6637,46.65,100,0,6.91,clear sky,2021-12-02 04:39:48
7,Khatanga,RU,71.9667,102.5,-42.23,100,92,0.6,overcast clouds,2021-12-02 04:39:48
8,Kathmandu,NP,27.7167,85.3167,62.82,63,75,3.44,broken clouds,2021-12-02 04:39:41
9,Xapuri,BR,-10.6517,-68.5044,74.88,87,99,3.24,overcast clouds,2021-12-02 04:39:49
10,New Norfolk,AU,-42.7826,147.0587,82.76,57,89,6.87,moderate rain,2021-12-02 04:39:49
11,Buala,SB,-8.145,159.5921,84.25,72,80,0.25,light rain,2021-12-02 04:39:49
12,Tuktoyaktuk,CA,69.4541,-133.0374,-13.0,77,90,5.75,light snow,2021-12-02 04:39:49
13,Hermanus,ZA,-34.4187,19.2345,59.9,72,63,8.72,light rain,2021-12-02 04:39:50
14,Hagere Selam,ET,6.4833,38.5167,52.59,55,24,3.24,few clouds,2021-12-02 04:39:50
15,Coahuayana,MX,18.7333,-103.6833,73.54,89,0,3.71,clear sky,2021-12-02 04:39:51
16,Chabahar,IR,25.2919,60.643,76.59,38,0,2.21,clear sky,2021-12-02 04:39:51
17,Lata,PT,40.1629,-8.3327,52.21,90,100,11.14,overcast clouds,2021-12-02 04:39:51
18,Iisalmi,FI,63.5592,27.1907,8.62,100,83,1.83,broken clouds,2021-12-02 04:39:52
19,Kodiak,US,57.79,-152.4072,17.11,73,90,19.57,light snow,2021-12-02 04:38:42
20,Ushuaia,AR,-54.8,-68.3,42.46,81,40,19.57,scattered clouds,2021-12-02 04:39:52
21,Priladozhskiy,RU,59.85,31.4833,17.26,96,82,4.09,broken clouds,2021-12-02 04:39:52
22,Codrington,AU,-38.2667,141.9667,62.08,73,77,22.01,broken clouds,2021-12-02 04:39:53
23,Nanortalik,GL,60.1432,-45.2371,33.51,87,100,19.77,light snow,2021-12-02 04:39:53
24,Tessalit,ML,20.1986,1.0114,68.67,18,30,8.97,scattered clouds,2021-12-02 04:39:53
25,Mar Del Plata,AR,-38.0023,-57.5575,59.88,87,1,8.01,clear sky,2021-12-02 04:39:53
26,Mataura,NZ,-46.1927,168.8643,64.47,49,100,4.9,overcast clouds,2021-12-02 04:37:04
27,Thompson,CA,55.7435,-97.8558,-9.24,84,20,5.75,few clouds,2021-12-02 04:39:54
28,Cape Town,ZA,-33.9258,18.4232,60.12,77,40,13.8,scattered clouds,2021-12-02 04:39:54
29,Klaksvik,FO,62.2266,-6.589,34.72,64,98,21.27,overcast clouds,2021-12-02 04:39:54
30,Busselton,AU,-33.65,115.3333,75.09,38,4,4.45,clear sky,2021-12-02 04:39:55
31,Bambous Virieux,MU,-20.3428,57.7575,84.22,69,75,11.5,broken clouds,2021-12-02 04:39:55
32,Korla,CN,41.7597,86.1469,29.37,46,1,7.45,clear sky,2021-12-02 04:39:55
