,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Weather Description,Date
0,Kargasok,59.0556,80.8572,17.67,98,100,3.58,overcast clouds,2021-11-30 21:34:11
1,Ushuaia,-54.8,-68.3,60.46,31,75,19.57,broken clouds,2021-11-30 21:29:19
2,Iqaluit,63.7506,-68.5145,8.33,78,75,4.0,broken clouds,2021-11-30 21:34:11
3,Ahipara,-35.1667,173.1667,70.48,60,100,4.0,overcast clouds,2021-11-30 21:34:12
4,Hobyo,5.3505,48.5268,79.05,66,73,18.95,broken clouds,2021-11-30 21:34:13
5,Saint-Philippe,-21.3585,55.7679,76.55,79,38,7.76,scattered clouds,2021-11-30 21:34:13
6,Isangel,-19.55,169.2667,82.51,78,75,0.0,broken clouds,2021-11-30 21:32:43
7,East London,-33.0153,27.9116,66.76,81,85,4.59,light rain,2021-11-30 21:34:13
8,Punta Arenas,-53.15,-70.9167,62.71,39,0,24.16,clear sky,2021-11-30 21:32:39
9,Bubaque,11.2833,-15.8333,82.29,69,5,10.42,clear sky,2021-11-30 21:34:14
10,Kawhia,-38.0651,174.8183,77.38,71,81,6.04,broken clouds,2021-11-30 21:34:14
11,Busselton,-33.65,115.3333,54.63,75,75,3.51,broken clouds,2021-11-30 21:34:15
12,Xining,36.6167,101.7667,17.94,56,0,2.24,clear sky,2021-11-30 21:34:15
13,Villa Bruzual,9.3328,-69.1208,84.13,51,86,2.24,overcast clouds,2021-11-30 21:34:15
14,Half Moon Bay,37.4636,-122.4286,75.92,59,1,10.36,haze,2021-11-30 21:34:16
15,Port Alfred,-33.5906,26.891,66.02,78,89,4.54,light rain,2021-11-30 21:34:16
16,Vaini,-21.2,-175.2,80.76,83,40,12.66,scattered clouds,2021-11-30 21:32:37
17,Galle,6.0367,80.217,77.41,86,81,2.04,broken clouds,2021-11-30 21:34:16
18,Jamestown,42.097,-79.2353,36.99,88,90,8.01,overcast clouds,2021-11-30 21:28:27
19,Srednekolymsk,67.45,153.6833,-16.2,98,100,8.63,overcast clouds,2021-11-30 21:34:17
20,Meulaboh,4.1363,96.1285,75.42,87,83,0.76,broken clouds,2021-11-30 21:34:17
21,Victoria,22.2855,114.1577,61.32,39,21,1.99,few clouds,2021-11-30 21:33:50
22,Atuona,-9.8,-139.0333,78.71,76,5,20.49,clear sky,2021-11-30 21:32:47
23,Klaksvik,62.2266,-6.589,34.72,58,100,18.7,overcast clouds,2021-11-30 21:34:17
24,Port Blair,11.6667,92.75,78.69,85,100,16.93,overcast clouds,2021-11-30 21:34:18
25,Rikitea,-23.1203,-134.9692,76.55,75,0,20.49,clear sky,2021-11-30 21:32:35
26,Mildura,-34.2,142.15,78.08,50,29,9.22,scattered clouds,2021-11-30 21:34:18
27,Barrow,71.2906,-156.7887,-16.58,76,1,12.66,clear sky,2021-11-30 21:34:19
28,New Norfolk,-42.7826,147.0587,65.75,52,74,3.31,broken clouds,2021-11-30 21:32:43
29,Kapaa,22.0752,-159.319,82.38,77,75,1.99,moderate rain,2021-11-30 21:30:30
